"Timestamp","Vehicle","coach_1_OutdoorTemp","coach_1_InteriorTemp","coach_1_SetPointTemp","coach_1_SupplyTemp","coach_6_OutdoorTemp","coach_6_InteriorTemp","coach_6_SetPointTemp","coach_6_SupplyTemp","coach_3_OutdoorTemp","coach_3_InteriorTemp","coach_3_SetPointTemp","coach_3_SupplyTemp","coach_4_OutdoorTemp","coach_4_InteriorTemp","coach_4_SetPointTemp","coach_4_SupplyTemp","coach_2_OutdoorTemp","coach_2_InteriorTemp","coach_2_SetPointTemp","coach_2_SupplyTemp","coach_5_OutdoorTemp","coach_5_InteriorTemp","coach_5_SetPointTemp","coach_5_SupplyTemp","DeltaTemp_coach_1","DeltaTemp_coach_2","DeltaTemp_coach_3","DeltaTemp_coach_4","DeltaTemp_coach_5","DeltaTemp_coach_6"
"07-01 06:49","Train_A",25.8,26.6257300513988,25.3,21.3,23.7,25.4257300513988,24.5,22.9,24.9,26.7257300513987,24.9,18.9,24.1,25.4257300513988,24.6,21.5,24.6,26.7257300513987,24.8,20.2,23.9,25.8257300513988,24.5,24,1.32573005139875,1.92573005139875,1.82573005139875,0.825730051398748,1.32573005139875,0.92573005139875
"07-01 06:51","Train_A",25.4,26.0159015116862,25.1,23.5,24,25.6159015116862,24.6,24.7,24.6,25.9159015116862,24.8,21.9,24,25.2159015116862,24.6,23.9,24.6,25.5159015116862,24.8,24.2,23.9,25.9159015116862,24.5,25,0.915901511686161,0.715901511686161,1.11590151168616,0.61590151168616,1.41590151168616,1.01590151168616
"07-01 06:53","Train_A",25.3,24.6883754102847,25.1,19.6,23.7,24.2883754102847,24.4,25.3,24.3,24.3883754102847,24.7,17.7,24,24.1883754102847,24.6,24.9,24.3,24.3883754102847,24.7,24.7,23.6,24.2883754102847,24.4,19,-0.411624589715326,-0.311624589715325,-0.311624589715325,-0.411624589715326,-0.111624589715325,-0.111624589715325
"07-01 06:55","Train_A",24.8,23.4340539978059,24.9,23,23.4,23.5340539978059,24.3,19.2,23.9,23.2340539978059,24.5,21.4,23.4,22.8340539978059,24.3,20.9,23.8,23.1340539978059,24.5,23.3,23.3,22.4340539978059,24.3,22.3,-1.46594600219407,-1.36594600219407,-1.26594600219407,-1.46594600219407,-1.86594600219407,-0.76594600219407
"07-01 06:57","Train_A",25,24.3252248952442,25,21.9,23.9,22.7252248952442,24.5,22.5,24.1,24.0252248952442,24.6,22.3,23.7,23.0252248952442,24.5,23.4,24.2,23.7252248952442,24.7,25.3,23.7,23.3252248952442,24.5,24.2,-0.674775104755778,-0.974775104755775,-0.57477510475578,-1.47477510475578,-1.17477510475578,-1.77477510475578
"07-01 06:59","Train_A",25.3,25.236192974794,25.1,23.2,24,24.536192974794,24.6,24.3,24.8,24.836192974794,24.9,21.8,24.3,24.636192974794,24.7,24.6,24.7,25.236192974794,24.9,22.1,24,24.836192974794,24.6,24.9,0.136192974794035,0.336192974794037,-0.0638070252059611,-0.0638070252059647,0.236192974794036,-0.0638070252059647
"07-01 07:01","Train_A",25,25.3055087538507,25,21.6,24.2,24.6055087538507,24.7,25,24.4,25.0055087538507,24.7,23.3,24.3,25.0055087538507,24.7,25.2,24.3,24.8055087538507,24.7,25.2,24.3,25.0055087538507,24.7,22.2,0.305508753850726,0.105508753850727,0.305508753850726,0.305508753850726,0.305508753850726,-0.0944912461492723
"07-01 07:03","Train_A",23.9,25.225928708421,24.5,21.2,23.6,25.925928708421,24.4,21.9,23.2,25.025928708421,24.3,18.5,24.3,25.125928708421,24.7,21.1,23.2,25.625928708421,24.2,17.6,23.3,24.925928708421,24.3,23,0.725928708421015,1.42592870842101,0.725928708421015,0.425928708421014,0.625928708421013,1.52592870842102
"07-01 07:05","Train_A",24.2,26.307710312488,24.7,23.3,23.9,25.507710312488,24.5,22.9,23.5,25.907710312488,24.4,21.1,23.9,25.707710312488,24.5,23.5,23.4,25.207710312488,24.4,22.1,23.5,26.207710312488,24.4,24.6,1.60771031248803,0.807710312488033,1.50771031248803,1.20771031248803,1.80771031248803,1.00771031248803
"07-01 07:07","Train_A",25.3,25.2902756905179,25.1,21.3,24.3,24.4902756905179,24.7,24.6,24.3,25.0902756905179,24.7,22.8,24.5,24.6902756905179,24.8,24.6,24.6,24.4902756905179,24.8,24.4,24.8,24.7902756905179,24.9,20.9,0.190275690517925,-0.309724309482075,0.390275690517925,-0.109724309482075,-0.109724309482072,-0.209724309482073
"07-01 07:09","Train_A",25.7,24.4718981145075,25.2,24.2,24.9,23.8718981145075,24.9,25.4,24.8,24.8718981145075,24.9,24,25,23.8718981145075,25,25.1,25,24.2718981145075,24.9,25.9,25.1,23.3718981145075,25,24.5,-0.728101885492486,-0.628101885492484,-0.0281018854924866,-1.12810188549249,-1.62810188549249,-1.02810188549249
"07-01 07:11","Train_A",25.5,24.9278617973783,25.2,22.5,24.9,25.3278617973783,24.9,25.9,24.7,25.6278617973783,24.8,17.5,25.1,25.4278617973783,25,25.2,24.6,25.1278617973783,24.8,23.5,25,24.9278617973783,25,25.4,-0.272138202621725,0.327861797378276,0.827861797378276,0.427861797378274,-0.072138202621726,0.427861797378278
"07-01 07:13","Train_A",26.2,26.7562362739179,25.4,24.6,25.4,26.3562362739179,25.1,22.7,25.5,26.2562362739179,25.2,20.7,25.3,26.4562362739179,25.1,23.5,25.4,26.4562362739179,25.2,26,25.3,26.3562362739179,25.1,21.5,1.35623627391794,1.25623627391794,1.05623627391794,1.35623627391794,1.25623627391794,1.25623627391794
"07-01 07:15","Train_A",26.6,25.8264080407487,25.6,21.4,25.5,25.0264080407487,25.2,25.3,25.7,25.7264080407487,25.3,23.3,26.3,25.2264080407487,25.5,22.2,25.9,25.7264080407487,25.3,22.5,25.6,25.0264080407487,25.2,25,0.2264080407487,0.426408040748703,0.426408040748703,-0.273591959251297,-0.173591959251299,-0.173591959251299
"07-01 07:17","Train_A",25.9,24.9033604225209,25.3,24.4,25.3,24.7033604225209,25.1,25.9,25.1,24.5033604225209,25,19.9,25.6,24.5033604225209,25.2,25,25.2,25.0033604225209,25.1,24.2,25.2,24.8033604225209,25.1,25.7,-0.39663957747913,-0.0966395774791294,-0.496639577479128,-0.696639577479127,-0.296639577479132,-0.39663957747913
"07-01 07:19","Train_A",26.2,24.4449576270658,25.4,19.6,25.5,24.7449576270658,25.2,22.1,25.5,24.7449576270658,25.2,22.4,25.8,24.7449576270658,25.3,20.4,25.6,24.1449576270658,25.2,24,25.8,24.0449576270658,25.3,23.6,-0.955042372934199,-1.0550423729342,-0.455042372934199,-0.5550423729342,-1.2550423729342,-0.455042372934199
"07-01 07:21","Train_A",25.5,23.5980496569118,25.2,23.3,24.9,23.6980496569118,25,24.6,24.9,24.0980496569118,24.9,20.6,25.1,23.6980496569118,25,24.3,24.9,24.1980496569118,24.9,23.7,25.1,23.9980496569118,25,25.6,-1.6019503430882,-0.7019503430882,-0.801950343088201,-1.3019503430882,-1.0019503430882,-1.3019503430882
"07-01 07:23","Train_A",26.6,24.7451346891048,25.6,22.1,25.9,24.7451346891048,25.3,25.9,25.7,24.3451346891048,25.2,18.7,26,24.7451346891048,25.4,24.4,25.8,23.7451346891048,25.3,22.5,25.8,24.0451346891048,25.3,23.2,-0.85486531089516,-1.55486531089516,-0.85486531089516,-0.654865310895158,-1.25486531089516,-0.55486531089516
"07-01 07:25","Train_A",26.3,25.4793282348587,25.5,24.3,26,25.2793282348587,25.4,24.5,25.6,25.2793282348587,25.2,22.6,26.2,25.0793282348587,25.4,24.3,25.6,24.9793282348587,25.2,25.3,25.6,25.2793282348587,25.2,25.5,-0.0206717651412729,-0.220671765141272,0.0793282348587285,-0.32067176514127,0.0793282348587285,-0.120671765141271
"07-01 07:27","Train_A",26.9,26.7556611093329,25.7,22.7,26.6,26.3556611093329,25.6,24.2,25.9,25.9556611093329,25.4,19,26.3,25.9556611093329,25.5,24.7,26.1,25.7556611093329,25.4,26.6,26.3,26.1556611093329,25.5,24.3,1.05566110933293,0.355661109332927,0.555661109332927,0.455661109332925,0.655661109332925,0.755661109332926
"07-01 07:31","Train_A",24.6,24.4400950258221,24.8,23.2,24.9,24.5400950258221,24.9,25.3,24.3,24.4400950258221,24.7,20.6,24.9,24.6400950258221,24.9,21.5,24,23.8400950258221,24.6,23.5,24.8,24.9400950258221,24.9,25.7,-0.359904974177882,-0.759904974177881,-0.259904974177881,-0.259904974177877,0.0400950258221197,-0.359904974177879
"07-01 07:33","Train_A",25.5,24.1784799991943,25.2,20,25.6,24.7784799991943,25.2,23.6,25,24.1784799991943,25,18.8,25.5,23.9784799991943,25.2,24.6,25,24.0784799991943,25,25.8,25.4,23.6784799991943,25.1,22.6,-1.02152000080571,-0.921520000805716,-0.821520000805715,-1.22152000080572,-1.42152000080572,-0.421520000805716
"07-01 07:35","Train_A",25.5,25.069654827646,25.2,23.5,25.6,24.869654827646,25.2,23.7,25,25.069654827646,24.9,22.4,25.3,25.369654827646,25.1,25.4,24.9,24.769654827646,24.9,23.2,25.1,25.069654827646,25,25.1,-0.130345172354002,-0.130345172354002,0.169654827645999,0.269654827645996,0.0696548276459971,-0.330345172354001
"07-01 07:37","Train_A",25.5,25.5438553970387,25.2,21.8,25.5,25.2438553970387,25.2,25.5,24.9,24.9438553970387,24.9,20,25.1,24.5438553970387,25,22.8,24.8,24.8438553970387,24.9,25.9,26,25.1438553970387,25.3,20.4,0.343855397038673,-0.0561446029613289,0.0438553970386725,-0.456144602961327,-0.15614460296133,0.0438553970386725
"07-01 07:41","Train_A",26.2,22.9013567885542,25.5,24.6,25.2,22.1013567885542,25.1,24.3,25.5,23.2013567885542,25.2,17.1,25.8,22.7013567885542,25.3,20.9,25.6,22.2013567885542,25.2,25.7,25.3,22.9013567885542,25.1,25.6,-2.59864321144576,-2.99864321144575,-1.99864321144575,-2.59864321144576,-2.19864321144576,-2.99864321144576
"07-01 07:43","Train_A",26.6,24.520804072024,25.6,20.4,25.6,24.220804072024,25.2,25.5,25.6,23.520804072024,25.2,21.2,26,23.720804072024,25.3,24.7,25.9,24.620804072024,25.3,23,25.8,24.020804072024,25.3,21.9,-1.07919592797598,-0.679195927975975,-1.67919592797597,-1.57919592797598,-1.27919592797598,-0.979195927975975
